HOTEL,LEAD_TIME,ARRIVAL_DATE_WEEK_NUMBER,STAYS_IN_WEEKEND_NIGHTS,STAYS_IN_WEEK_NIGHTS,ADULTS,CHILDREN,BABIES,MEAL,COUNTRY,MARKET_SEGMENT,DISTRIBUTION_CHANNEL,IS_REPEATED_GUEST,PREVIOUS_CANCELLATIONS,PREVIOUS_BOOKINGS_NOT_CANCELED,RESERVED_ROOM_TYPE,ASSIGNED_ROOM_TYPE,BOOKING_CHANGES,DEPOSIT_TYPE,AGENT,DAYS_IN_WAITING_LIST,CUSTOMER_TYPE,ADR,REQUIRED_CAR_PARKING_SPACES,TOTAL_OF_SPECIAL_REQUESTS,RESERVATION_STATUS,RESERVATION_STATUS_DATE,ARRIVAL_DATE,TOTAL_NIGHTS,REVENUE,MONTH,DAY_NAME,YEAR,BOOKING_DAY_TYPE,BOOKING_STATUS,CUSTOMER_SEGMENT,BOOKING_PLATFORM,DEVICE_TYPE,DISCOUNT_PERCENTAGE,TOTAL_STAY,TOTAL_REVENUE,Payment_Method,FINAL REVENUE
Resort Hotel,37,27,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,Transient,113.652,0,0,Check-Out,05-07-2015,01-07-2015,4,454.608,July,Wednesday,2015,Weekday,completed,Business,Website,iOS,0,4,378.84,NET BANKING,378.84
City Hotel,68,27,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,Transient,97,0,3,Check-Out,05-07-2015,01-07-2015,4,388,July,Wednesday,2015,Weekday,completed,Individual,Partner Platform,iOS,5,4,388,DEBIT CARD,368.6
Resort Hotel,37,27,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,0,Contract,117,0,0,Check-Out,05-07-2015,01-07-2015,4,468,July,Wednesday,2015,Weekday,completed,Business,Partner Platform,iOS,15,4,390,UPI,331.5
Resort Hotel,12,27,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,0,Transient,105.84,0,0,Check-Out,02-07-2015,01-07-2015,1,105.84,July,Wednesday,2015,Weekday,completed,Individual,Mobile App,Desktop,10,1,88.2,CASH,79.38
City Hotel,0,27,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0,0,Transient,107.42,0,0,Check-Out,02-07-2015,01-07-2015,1,107.42,July,Wednesday,2015,Weekday,completed,Individual,Partner Platform,Desktop,0,1,107.42,DEBIT CARD,107.42
City Hotel,7,27,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,0,Transient,153,0,1,Check-Out,05-07-2015,01-07-2015,4,612,July,Wednesday,2015,Weekday,completed,Business,Website,iOS,20,4,612,UPI,489.6
Resort Hotel,37,27,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,0,Transient,116.748,0,1,Check-Out,06-07-2015,01-07-2015,5,583.74,July,Wednesday,2015,Weekday,completed,Business,Website,iOS,15,5,486.45,DEBIT CARD,413.4825
Resort Hotel,72,27,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,0,Transient,101.604,0,1,Check-Out,07-07-2015,01-07-2015,6,609.624,July,Wednesday,2015,Weekday,completed,Business,Mobile App,iOS,0,6,508.02,UPI,508.02
City Hotel,72,27,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,Transient,99.67,0,1,Check-Out,07-07-2015,01-07-2015,6,598.02,July,Wednesday,2015,Weekday,completed,Business,Website,iOS,15,6,598.02,NET BANKING,508.317
Resort Hotel,127,27,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,0,Contract,113.94,0,1,Check-Out,01-07-2015,01-07-2015,7,797.58,July,Wednesday,2015,Weekday,completed,Individual,Mobile App,Android,5,7,664.65,CASH,631.4175
Resort Hotel,78,27,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,Transient,76.32,1,0,Check-Out,08-07-2015,01-07-2015,7,534.24,July,Wednesday,2015,Weekday,completed,Individual,Mobile App,iOS,0,7,445.2,DEBIT CARD,445.2
City Hotel,48,27,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,Contract,79.5,0,0,Check-Out,08-07-2015,01-07-2015,7,556.5,July,Wednesday,2015,Weekday,completed,Business,Website,iOS,10,7,556.5,NET BANKING,500.85
City Hotel,60,27,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,107,0,2,Canceled,11-05-2015,01-07-2015,7,749,July,Wednesday,2015,Weekday,cancelled,Individual,Partner Platform,Desktop,10,7,749,CASH,674.1
Resort Hotel,77,27,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,112.8,0,0,Check-Out,08-07-2015,01-07-2015,7,789.6,July,Wednesday,2015,Weekday,completed,Business,Website,iOS,5,7,658,DEBIT CARD,625.1
Resort Hotel,99,27,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,104.76,1,1,Check-Out,08-07-2015,01-07-2015,7,733.32,July,Wednesday,2015,Weekday,completed,Business,Mobile App,Android,15,7,611.1,DEBIT CARD,519.435
Resort Hotel,118,27,4,10,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,0,0,Transient,74.4,0,2,Check-Out,15-07-2015,01-07-2015,14,1041.6,July,Wednesday,2015,Weekday,completed,Business,Mobile App,iOS,10,14,868,NET BANKING,781.2
Resort Hotel,95,27,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,0,Transient,76.632,0,0,Check-Out,16-07-2015,01-07-2015,15,1149.48,July,Wednesday,2015,Weekday,completed,Business,Mobile App,iOS,20,15,957.9,CASH,766.32
Resort Hotel,96,27,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,0,Transient,129.96,0,2,Canceled,29-05-2015,01-07-2015,10,1299.6,July,Wednesday,2015,Weekday,cancelled,Individual,Website,iOS,0,10,1083,UPI,1083
City Hotel,69,27,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,0,Transient,65.5,0,0,Check-Out,08-07-2015,02-07-2015,6,393,July,Thursday,2015,Weekday,completed,Business,Website,Desktop,0,6,393,UPI,393
Resort Hotel,45,27,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,Transient,130.56,0,1,Canceled,19-05-2015,02-07-2015,4,522.24,July,Thursday,2015,Weekday,cancelled,Individual,Website,Android,5,4,435.2,NET BANKING,413.44
Resort Hotel,40,27,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,Transient,130.56,0,1,Canceled,19-06-2015,02-07-2015,4,522.24,July,Thursday,2015,Weekday,cancelled,Business,Website,iOS,15,4,435.2,DEBIT CARD,369.92
Resort Hotel,15,27,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,Transient,117.6,0,0,Check-Out,06-07-2015,02-07-2015,4,470.4,July,Thursday,2015,Weekday,completed,Business,Website,iOS,10,4,392,DEBIT CARD,352.8
Resort Hotel,36,27,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,Transient,130.56,0,1,Check-Out,06-07-2015,02-07-2015,4,522.24,July,Thursday,2015,Weekday,completed,Business,Mobile App,Desktop,5,4,435.2,UPI,413.44
City Hotel,43,27,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,Transient,108.8,0,0,Canceled,23-05-2015,02-07-2015,4,435.2,July,Thursday,2015,Weekday,cancelled,Business,Website,Android,15,4,435.2,NET BANKING,369.92
Resort Hotel,70,27,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,Transient,164.4,0,1,Check-Out,07-07-2015,02-07-2015,5,822,July,Thursday,2015,Weekday,completed,Individual,Mobile App,Android,5,5,685,UPI,650.75
Resort Hotel,45,27,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,Transient,141.372,0,0,Canceled,18-05-2015,02-07-2015,5,706.86,July,Thursday,2015,Weekday,cancelled,Business,Website,Android,10,5,589.05,DEBIT CARD,530.145
Resort Hotel,45,27,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,Contract,95.4,0,0,Check-Out,07-07-2015,02-07-2015,5,477,July,Thursday,2015,Weekday,completed,Business,Mobile App,Android,0,5,397.5,DEBIT CARD,397.5
City Hotel,16,27,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,0,Transient,123,0,0,Check-Out,07-07-2015,02-07-2015,5,615,July,Thursday,2015,Weekday,completed,Individual,Mobile App,Desktop,5,5,615,DEBIT CARD,584.25
City Hotel,107,27,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,110.7,0,2,Check-Out,09-07-2015,02-07-2015,7,774.9,July,Thursday,2015,Weekday,completed,Business,Mobile App,iOS,20,7,774.9,DEBIT CARD,619.92
Resort Hotel,47,27,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,183.6,0,0,Canceled,02-06-2015,02-07-2015,7,1285.2,July,Thursday,2015,Weekday,cancelled,Business,Website,iOS,0,7,1071,DEBIT CARD,1071
City Hotel,96,27,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,Transient,58.95,0,1,Check-Out,09-07-2015,02-07-2015,7,412.65,July,Thursday,2015,Weekday,completed,Individual,Mobile App,iOS,20,7,412.65,UPI,330.12
Resort Hotel,113,27,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,0,Transient-Party,99.456,0,2,Check-Out,09-07-2015,02-07-2015,7,696.192,July,Thursday,2015,Weekday,completed,Individual,Mobile App,iOS,10,7,580.16,DEBIT CARD,522.144
Resort Hotel,90,27,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,0,Contract,98.82,0,0,Check-Out,09-07-2015,02-07-2015,7,691.74,July,Thursday,2015,Weekday,completed,Business,Mobile App,Desktop,0,7,576.45,DEBIT CARD,576.45
City Hotel,50,27,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,0,Transient,119.35,0,1,Check-Out,09-07-2015,02-07-2015,7,835.45,July,Thursday,2015,Weekday,completed,Group,Mobile App,Android,15,7,835.45,UPI,710.1325
Resort Hotel,113,27,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,0,Transient-Party,81.096,0,2,Check-Out,09-07-2015,02-07-2015,7,567.672,July,Thursday,2015,Weekday,completed,Individual,Website,iOS,15,7,473.06,NET BANKING,402.101
City Hotel,93,27,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,0,Contract,56.01,0,0,Check-Out,13-07-2015,02-07-2015,11,616.11,July,Thursday,2015,Weekday,completed,Business,Website,Android,0,11,616.11,NET BANKING,616.11
Resort Hotel,76,27,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,0,Contract,132.84,0,0,Check-Out,16-07-2015,02-07-2015,14,1859.76,July,Thursday,2015,Weekday,completed,Business,Website,Android,5,14,1549.8,NET BANKING,1472.31
City Hotel,3,27,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,Transient,88.2,1,0,Check-Out,03-07-2015,02-07-2015,1,88.2,July,Thursday,2015,Weekday,completed,Business,Mobile App,Android,10,1,88.2,NET BANKING,79.38
Resort Hotel,1,27,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,Transient,176.4,1,0,Check-Out,03-07-2015,02-07-2015,1,176.4,July,Thursday,2015,Weekday,completed,Business,Partner Platform,Desktop,10,1,147,NET BANKING,132.3
Resort Hotel,1,27,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,Transient,128.4,1,2,Check-Out,03-07-2015,02-07-2015,1,128.4,July,Thursday,2015,Weekday,completed,Business,Mobile App,Desktop,15,1,107,CASH,90.95
Resort Hotel,0,27,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,0,Transient,176.4,0,0,Check-Out,03-07-2015,02-07-2015,1,176.4,July,Thursday,2015,Weekday,completed,Individual,Website,iOS,5,1,147,UPI,139.65
Resort Hotel,0,27,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,0,Transient,141.48,0,2,Check-Out,03-07-2015,02-07-2015,1,141.48,July,Thursday,2015,Weekday,completed,Business,Mobile App,Android,10,1,117.9,UPI,106.11
Resort Hotel,0,27,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,0,Transient,147.6,0,0,Check-Out,03-07-2015,02-07-2015,1,147.6,July,Thursday,2015,Weekday,completed,Individual,Website,iOS,5,1,123,NET BANKING,116.85
City Hotel,14,27,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,0,Transient,98,0,1,Check-Out,04-07-2015,02-07-2015,2,196,July,Thursday,2015,Weekday,completed,Business,Mobile App,Android,15,2,196,DEBIT CARD,166.6
Resort Hotel,10,27,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,Transient,141.372,0,0,Check-Out,04-07-2015,02-07-2015,2,282.744,July,Thursday,2015,Weekday,completed,Business,Mobile App,iOS,15,2,235.62,DEBIT CARD,200.277
City Hotel,5,27,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,135,1,2,Check-Out,04-07-2015,02-07-2015,2,270,July,Thursday,2015,Weekday,completed,Group,Partner Platform,Desktop,0,2,270,DEBIT CARD,270
Resort Hotel,17,27,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,0,Transient,159.6,0,1,Check-Out,05-07-2015,02-07-2015,3,478.8,July,Thursday,2015,Weekday,completed,Individual,Partner Platform,Desktop,15,3,399,DEBIT CARD,339.15
City Hotel,93,27,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,0,Contract,58.95,0,0,Check-Out,05-07-2015,02-07-2015,3,176.85,July,Thursday,2015,Weekday,completed,Business,Website,iOS,5,3,176.85,CASH,168.0075
Resort Hotel,3,27,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,163.596,0,2,Canceled,29-06-2015,02-07-2015,3,490.788,July,Thursday,2015,Weekday,cancelled,Business,Mobile App,Android,5,3,408.99,NET BANKING,388.5405
Resort Hotel,10,27,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,0,Transient,183.6,1,0,Check-Out,05-07-2015,03-07-2015,2,367.2,July,Friday,2015,Weekday,completed,Business,Mobile App,Desktop,5,2,306,DEBIT CARD,290.7
Resort Hotel,3,27,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,Transient,132.6,0,0,Check-Out,05-07-2015,03-07-2015,2,265.2,July,Friday,2015,Weekday,completed,Individual,Partner Platform,Android,0,2,221,UPI,221
Resort Hotel,51,27,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,0,Transient,116.4,0,0,Check-Out,05-07-2015,03-07-2015,2,232.8,July,Friday,2015,Weekday,completed,Individual,Mobile App,iOS,0,2,194,UPI,194
Resort Hotel,71,27,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,Transient,132.36,0,2,Canceled,16-06-2015,03-07-2015,2,264.72,July,Friday,2015,Weekday,cancelled,Individual,Mobile App,Desktop,15,2,220.6,CASH,187.51
City Hotel,63,27,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,82,0,2,Canceled,18-06-2015,03-07-2015,2,164,July,Friday,2015,Weekday,cancelled,Group,Website,iOS,5,2,164,DEBIT CARD,155.8
City Hotel,62,27,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,97,0,1,Canceled,03-07-2015,03-07-2015,2,194,July,Friday,2015,Weekday,cancelled,Group,Website,Desktop,20,2,194,UPI,155.2
Resort Hotel,101,27,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,88.56,0,1,Canceled,12-06-2015,03-07-2015,2,177.12,July,Friday,2015,Weekday,cancelled,Group,Mobile App,Android,15,2,147.6,DEBIT CARD,125.46
City Hotel,2,27,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,0,Transient,91.5,0,0,Check-Out,05-07-2015,03-07-2015,2,183,July,Friday,2015,Weekday,completed,Business,Mobile App,Android,5,2,183,CASH,173.85
Resort Hotel,15,27,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,137.4,0,0,Check-Out,05-07-2015,03-07-2015,2,274.8,July,Friday,2015,Weekday,completed,Business,Website,Desktop,15,2,229,UPI,194.65
Resort Hotel,51,27,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,0,Transient,132.36,0,0,Canceled,09-06-2015,03-07-2015,2,264.72,July,Friday,2015,Weekday,cancelled,Business,Website,Android,15,2,220.6,DEBIT CARD,187.51
Resort Hotel,3,27,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,109.08,1,0,Check-Out,06-07-2015,03-07-2015,3,327.24,July,Friday,2015,Weekday,completed,Individual,Website,Desktop,5,3,272.7,CASH,259.065
Resort Hotel,48,27,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,147.6,0,0,Canceled,26-05-2015,03-07-2015,3,442.8,July,Friday,2015,Weekday,cancelled,Business,Website,Android,0,3,369,NET BANKING,369
City Hotel,2,27,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,122,0,0,Check-Out,07-07-2015,03-07-2015,4,488,July,Friday,2015,Weekday,completed,Business,Mobile App,Desktop,10,4,488,CASH,439.2
Resort Hotel,72,27,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,0,Transient,132.84,1,0,Check-Out,07-07-2015,03-07-2015,4,531.36,July,Friday,2015,Weekday,completed,Business,Mobile App,Desktop,0,4,442.8,CASH,442.8
City Hotel,81,27,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,Transient,85.86,0,0,Check-Out,11-07-2015,03-07-2015,8,686.88,July,Friday,2015,Weekday,completed,Business,Website,iOS,5,8,686.88,NET BANKING,652.536
City Hotel,99,27,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,Contract,58.95,0,0,Check-Out,12-07-2015,03-07-2015,9,530.55,July,Friday,2015,Weekday,completed,Individual,Mobile App,Android,10,9,530.55,NET BANKING,477.495
Resort Hotel,368,27,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,Contract,66.816,0,0,Canceled,19-05-2015,03-07-2015,10,668.16,July,Friday,2015,Weekday,cancelled,Group,Partner Platform,Android,20,10,556.8,DEBIT CARD,445.44
City Hotel,364,27,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,Contract,55.68,0,0,Check-Out,13-07-2015,03-07-2015,10,556.8,July,Friday,2015,Weekday,completed,Business,Website,iOS,5,10,556.8,NET BANKING,528.96
City Hotel,81,27,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,0,Transient,124,0,1,Canceled,09-06-2015,03-07-2015,10,1240,July,Friday,2015,Weekday,cancelled,Business,Mobile App,iOS,5,10,1240,DEBIT CARD,1178
Resort Hotel,99,27,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,0,Contract,133.38,0,0,Check-Out,13-07-2015,03-07-2015,10,1333.8,July,Friday,2015,Weekday,completed,Business,Website,iOS,15,10,1111.5,CASH,944.775
City Hotel,324,27,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,Contract,134.73,0,0,Check-Out,17-07-2015,03-07-2015,14,1886.22,July,Friday,2015,Weekday,completed,Business,Mobile App,Android,10,14,1886.22,CASH,1697.598
City Hotel,69,27,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,0,Transient,92.45,0,1,Check-Out,17-07-2015,03-07-2015,14,1294.3,July,Friday,2015,Weekday,completed,Business,Mobile App,iOS,20,14,1294.3,NET BANKING,1035.44
City Hotel,79,27,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,Transient,108.73,0,2,Canceled,15-04-2015,03-07-2015,21,2283.33,July,Friday,2015,Weekday,cancelled,Business,Partner Platform,Android,20,21,2283.33,CASH,1826.664
Resort Hotel,12,27,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,Transient,88.56,0,0,Check-Out,04-07-2015,03-07-2015,1,88.56,July,Friday,2015,Weekday,completed,Individual,Website,iOS,5,1,73.8,UPI,70.11
City Hotel,9,27,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,Transient,98,1,2,Check-Out,04-07-2015,03-07-2015,1,98,July,Friday,2015,Weekday,completed,Business,Website,Android,15,1,98,NET BANKING,83.3
Resort Hotel,1,27,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,Transient,157.2,0,1,Check-Out,04-07-2015,03-07-2015,1,157.2,July,Friday,2015,Weekday,completed,Group,Website,Android,0,1,131,CASH,131
